"Início dos relatórios","Término dos relatórios","Nome do anúncio","Veiculação do anúncio",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)","Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão",Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link","CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Custo por candidatura enviada (BRL)","Apps enviados","Inscrições no app para celular enviadas","Apps do site enviados","Candidaturas enviadas offline","Inscrições na Meta enviadas","Finalizações de compra iniciadas","Finalizações de compra iniciadas no app para celular","Finalizações de compra iniciadas no site","Finalizações de pagamento iniciadas offline","Finalizações da compra iniciadas na Meta","Custo por finalização de compra iniciada (BRL)",Compras,"Compras no app","Compras no site","Compras offline","Compras na Meta","Custo por compra (BRL)","Nome da campanha","Identificação da campanha","Nome do conjunto de anúncios","Identificação do conjunto de anúncios"
2026-02-09,2026-02-15,"AD162 [MDA] [VID] VENDA - REMARKETING 1",inactive,,,607,1.873147,,100,Diário,87.88,"Abaixo da média – 35% mais baixos dos anúncios","Na média","Na média",1137,77.291117,9,9.764444,0.791557,14,1.23131,6.277143,,,,,,,2,,2,,,43.94,,,,,,,"[24/01/25] [MDA] [Q] [AUTO] [VENDAS] [REMARKETING] [VSL C] [R$ 197,00] [5]",120240432066700163,"00 - Page View VSL C - 180D - Best Ads Geral Jan",120240432066830163
2026-02-09,2026-02-15,"AD165 [MDA] [VID] VENDA - REMARKETING 4",not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,807,2.696406,165.35,100,Diário,165.35,"Abaixo da média – 35% mais baixos dos anúncios","Na média","Na média",2176,75.988051,20,8.2675,0.919118,31,1.424632,5.333871,,,,,,,4,,4,,,41.3375,1,,1,,,165.35,"[24/01/25] [MDA] [Q] [AUTO] [VENDAS] [REMARKETING] [VSL C] [R$ 197,00] [5]",120240432066700163,"00 - Page View VSL C - 180D - Best Ads Geral Jan",120240432066830163
2026-02-09,2026-02-15,"AD182 [MDA] [VID] VENDA - REMARKETING 11",not_delivering,,,1288,3.657609,,100,Diário,420.3,"Abaixo da média – 35% mais baixos dos anúncios","Na média","Na média",4711,89.216727,62,6.779032,1.316069,76,1.613246,5.530263,,,,,,,7,,7,,,60.042857,,,,,,,"[24/01/25] [MDA] [Q] [AUTO] [VENDAS] [REMARKETING] [VSL C] [R$ 197,00] [5]",120240432066700163,"00 - Page View VSL C - 180D - Best Ads Geral Jan",120240432066830163
2026-02-09,2026-02-15,"AD183 [MDA] [VID] VENDA - REMARKETING 12",not_delivering,,,137,1.467153,,100,Diário,11.11,–,–,–,201,55.273632,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[24/01/25] [MDA] [Q] [AUTO] [VENDAS] [REMARKETING] [VSL C] [R$ 197,00] [5]",120240432066700163,"00 - Page View VSL C - 180D - Best Ads Geral Jan",120240432066830163
2026-02-09,2026-02-15,"AD62 [MDA] [VID] VENDA - O YOUTUBE MUDOU AGORA",not_delivering,,,0,0,,50,Diário,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[18/11/25] [LVC] [F] [AUTO] [VENDAS] [ADV+] [VSL B] [R$ 197,00] [1]",120237047550310163,"00 -  Advantage+ [VSL B] - AD62 [MDA] [VID] VENDA - O YOUTUBE MUDOU AGORA",120240513498740163
2026-02-09,2026-02-15,"AD04 [MDA] [VID] VENDA - PRA QUÊ EU VOU FAZER",not_delivering,,,53,1.018868,,200,Diário,1.22,–,–,–,54,22.592593,,,,2,3.703704,0.61,,,,,,,,,,,,,,,,,,,"[22/12/25] [LVC] [F] [AUTO] [VENDAS] [MIX PÚBLICOS] [VSL B] [R$ 197,00] [4]",120239176137660163,"[00 - Aberto] [VSL B] - Best Ads [3° Semana]",120240676444450163
2026-02-09,2026-02-15,"AD17 [MDA] [VID] VENDA - FAÇA DO YOUTUBE A SUA PROFISSÃO V5",not_delivering,,,42,1.047619,,200,Diário,1.32,–,–,–,44,30,2,0.66,4.545455,4,9.090909,0.33,,,,,,,,,,,,,,,,,,,"[22/12/25] [LVC] [F] [AUTO] [VENDAS] [MIX PÚBLICOS] [VSL B] [R$ 197,00] [4]",120239176137660163,"[00 - Aberto] [VSL B] - Best Ads [3° Semana]",120240676444450163
2026-02-09,2026-02-15,"AD07 [MDA] [VID] VENDA - 1 MISSÃO, MONETIZAR MAIS 1",not_delivering,16,actions:offsite_conversion.fb_pixel_purchase,70989,1.220626,85.315,200,Diário,1365.04,"Na média","Acima da média","Na média",86651,15.753309,782,1.745575,0.902471,1684,1.943428,0.810594,,,,,,,104,,104,,,13.125385,16,,16,,,85.315,"[22/12/25] [LVC] [F] [AUTO] [VENDAS] [MIX PÚBLICOS] [VSL B] [R$ 197,00] [4]",120239176137660163,"[00 - Aberto] [VSL B] - Best Ads [3° Semana]",120240676444450163
2026-02-09,2026-02-15,"AD06 [LVC] [VID] VENDA - SABE O QUE DA DINHEIRO HOJE",not_delivering,,,45,1.133333,,200,Diário,2.02,–,–,–,51,39.607843,,,,1,1.960784,2.02,,,,,,,,,,,,,,,,,,,"[22/12/25] [LVC] [F] [AUTO] [VENDAS] [MIX PÚBLICOS] [VSL B] [R$ 197,00] [4]",120239176137660163,"[00 - Aberto] [VSL B] - Best Ads [3° Semana]",120240676444450163
2026-02-09,2026-02-15,"AD61 [MDA] [VID] VENDA - SÓ FICA RICO NO BRASIL — Cópia",not_delivering,,,1646,1.18712,,50,Diário,87.65,"Abaixo da média – 35% mais baixos dos anúncios","Na média","Na média",1954,44.856704,13,6.742308,0.665302,23,1.177073,3.81087,,,,,,,,,,,,,,,,,,,"[13/12/25] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL C] [R$ 197,00] [1]",120238621687030163,"00 - Advantage+ [VSL C] - AD61 [MDA] [VID] VENDA - SÓ FICA RICO NO BRASIL",120240843707880163
